From  2017/07/19-17:13:05 to  2017/07/19-17:13:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:15:05 to  2017/07/19-17:15:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:17:05 to  2017/07/19-17:17:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:19:05 to  2017/07/19-17:19:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:21:05 to  2017/07/19-17:21:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:23:05 to  2017/07/19-17:23:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:25:05 to  2017/07/19-17:25:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:27:05 to  2017/07/19-17:27:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:29:05 to  2017/07/19-17:29:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:31:05 to  2017/07/19-17:31:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:33:05 to  2017/07/19-17:33:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:35:05 to  2017/07/19-17:35:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:37:05 to  2017/07/19-17:37:36 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:09:33 to  2017/07/19-17:09:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:11:33 to  2017/07/19-17:11:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:13:33 to  2017/07/19-17:13:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:15:33 to  2017/07/19-17:15:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:17:33 to  2017/07/19-17:17:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:19:33 to  2017/07/19-17:19:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:21:33 to  2017/07/19-17:21:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:23:33 to  2017/07/19-17:23:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:25:33 to  2017/07/19-17:25:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:27:33 to  2017/07/19-17:27:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:29:33 to  2017/07/19-17:29:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:31:33 to  2017/07/19-17:31:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:33:33 to  2017/07/19-17:33:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:35:33 to  2017/07/19-17:35:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:37:33 to  2017/07/19-17:37:59 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:09:56 to  2017/07/19-17:10:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:11:56 to  2017/07/19-17:12:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:13:56 to  2017/07/19-17:14:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:15:56 to  2017/07/19-17:16:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:17:56 to  2017/07/19-17:18:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:19:56 to  2017/07/19-17:20:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:21:56 to  2017/07/19-17:22:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:23:56 to  2017/07/19-17:24:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:25:56 to  2017/07/19-17:26:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:27:56 to  2017/07/19-17:28:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:29:56 to  2017/07/19-17:30:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:31:56 to  2017/07/19-17:32:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:33:56 to  2017/07/19-17:34:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:35:56 to  2017/07/19-17:36:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:37:56 to  2017/07/19-17:38:23 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:10:19 to  2017/07/19-17:10:46 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
