From  2017/07/20-16:11:02 to  2017/07/20-16:11:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:13:02 to  2017/07/20-16:13:29 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:49:25 to  2017/07/20-15:49:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:51:25 to  2017/07/20-15:51:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:53:25 to  2017/07/20-15:53:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:55:25 to  2017/07/20-15:55:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:57:25 to  2017/07/20-15:57:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:59:25 to  2017/07/20-15:59:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:01:25 to  2017/07/20-16:01:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:03:25 to  2017/07/20-16:03:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:05:25 to  2017/07/20-16:05:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:07:25 to  2017/07/20-16:07:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:09:25 to  2017/07/20-16:09:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:11:25 to  2017/07/20-16:11:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:13:25 to  2017/07/20-16:13:52 the xmit rate from node 8 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 8 to node 8 is     500000 bytes/sec, confidence 1.000000.
