From  2017/07/19-17:21:49 to  2017/07/19-17:22:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:23:49 to  2017/07/19-17:24:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:25:49 to  2017/07/19-17:26:20 the xmit rate from node 8 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:58:17 to  2017/07/19-16:58:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:00:17 to  2017/07/19-17:00:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:02:17 to  2017/07/19-17:02:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:04:17 to  2017/07/19-17:04:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:06:17 to  2017/07/19-17:06:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:08:17 to  2017/07/19-17:08:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:10:17 to  2017/07/19-17:10:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:12:17 to  2017/07/19-17:12:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:14:17 to  2017/07/19-17:14:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:16:17 to  2017/07/19-17:16:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:18:17 to  2017/07/19-17:18:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:20:17 to  2017/07/19-17:20:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:22:17 to  2017/07/19-17:22:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:24:17 to  2017/07/19-17:24:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:26:17 to  2017/07/19-17:26:43 the xmit rate from node 8 to node 4 is     500000 bytes/sec, confidence 1.000000.
