From  2017/07/20-15:35:12 to  2017/07/20-15:35:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:35:55 to  2017/07/20-15:36:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:36:35 to  2017/07/20-15:36:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:37:12 to  2017/07/20-15:37:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:37:55 to  2017/07/20-15:38:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:38:35 to  2017/07/20-15:38:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:39:12 to  2017/07/20-15:39:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:39:55 to  2017/07/20-15:40:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:40:35 to  2017/07/20-15:40:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:41:12 to  2017/07/20-15:41:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:41:55 to  2017/07/20-15:42:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:42:35 to  2017/07/20-15:42:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:12 to  2017/07/20-15:43:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:55 to  2017/07/20-15:44:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:44:35 to  2017/07/20-15:44:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:45:12 to  2017/07/20-15:45:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:45:55 to  2017/07/20-15:46:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:46:35 to  2017/07/20-15:46:49 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:47:12 to  2017/07/20-15:47:30 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:47:55 to  2017/07/20-15:48:04 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:18:04 to  2017/09/04-22:24:44 the xmit rate from node 6 to node 6 is     500000 bytes/sec, confidence 1.000000.
